frame_id,scene_category,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance,object_or_region_id
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,39,NaN (non-ML source),0.05,0.802387,b26e791522294bec90f86fd72226e35c_r115
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,69,NaN (non-ML source),0.1,0.617386,b26e791522294bec90f86fd72226e35c_r116
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,40,NaN (non-ML source),0.05,0.783578,b26e791522294bec90f86fd72226e35c_r117
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,5,NaN (non-ML source),0.1,0.571617,b26e791522294bec90f86fd72226e35c_r118
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,16,NaN (non-ML source),0.1,0.574149,b26e791522294bec90f86fd72226e35c_r119
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,157,NaN (non-ML source),0.1,0.623616,b26e791522294bec90f86fd72226e35c_r120
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,64,NaN (non-ML source),0.1,0.619288,b26e791522294bec90f86fd72226e35c_r121
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,1,NaN (non-ML source),0.05,0.768275,b26e791522294bec90f86fd72226e35c_r122
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,10,NaN (non-ML source),0.1,0.576463,b26e791522294bec90f86fd72226e35c_r123
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,293,NaN (non-ML source),0.1,0.628398,b26e791522294bec90f86fd72226e35c_r124
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,314,NaN (non-ML source),0.05,0.838871,b26e791522294bec90f86fd72226e35c_r125
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,13,NaN (non-ML source),0.05,0.822515,b26e791522294bec90f86fd72226e35c_r126
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,10,NaN (non-ML source),0.05,0.790397,b26e791522294bec90f86fd72226e35c_r127
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,13,NaN (non-ML source),0.05,0.793306,b26e791522294bec90f86fd72226e35c_r128
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,18,NaN (non-ML source),0.05,0.788732,b26e791522294bec90f86fd72226e35c_r129
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,52,NaN (non-ML source),0.05,0.790848,b26e791522294bec90f86fd72226e35c_r130
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.766361,b26e791522294bec90f86fd72226e35c_r131
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,5,NaN (non-ML source),0.1,0.574706,b26e791522294bec90f86fd72226e35c_r132
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,13,NaN (non-ML source),0.1,0.587832,b26e791522294bec90f86fd72226e35c_r133
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,323,NaN (non-ML source),0.1,0.629383,b26e791522294bec90f86fd72226e35c_r134
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,132,NaN (non-ML source),0.1,0.62719,b26e791522294bec90f86fd72226e35c_r135
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,53,NaN (non-ML source),0.05,0.830589,b26e791522294bec90f86fd72226e35c_r136
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.792327,b26e791522294bec90f86fd72226e35c_r137
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,42,NaN (non-ML source),0.05,0.790811,b26e791522294bec90f86fd72226e35c_r138
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,24,NaN (non-ML source),0.1,0.589445,b26e791522294bec90f86fd72226e35c_r139
