configuration_id,weight_config,threshold_config,file,frame_id,scene_category,condition,map_cells,fine_cells,medium_cells,coarse_cells,mean_importance,mean_resolution,mapping_latency_ms,total_equiv_latency_ms,fps_equiv,success
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,noise_low,506,71,378,57,0.5868198629090566,0.10424901185770752,38.682700018398464,857.5186999514699,1.1661553270576999,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,noise_medium,506,72,377,57,0.5865680429177159,0.10415019762845852,65.22129999939352,965.1014999253675,1.0361604453804405,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,noise_high,513,72,383,58,0.5863749387105026,0.10428849902534112,67.56930006667972,868.7640002463013,1.1510605868987347,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,original,1055,68,700,287,0.5429896141279448,0.12398104265402844,138.11529998201877,1403.4828000003472,0.7125131850563132,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,dropout_5pct,1044,67,698,279,0.5435695266181839,0.1235153256704981,104.71220000181347,997.5846000015736,1.0024212482815218,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,dropout_10pct,1035,70,691,274,0.5448953781108312,0.12309178743961353,142.0243999455124,1127.2077999310568,0.887147871103414,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,dropout_20pct,1012,68,681,263,0.5458024877365527,0.12262845849802374,88.68030004668981,926.8707999726757,1.0788990224198238,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,dropout_30pct,985,66,666,253,0.5467334594213757,0.12233502538071067,150.57170006912202,1211.2872999859974,0.8255679721991307,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,sparse_75pct,978,64,680,234,0.5469791635705858,0.12065439672801637,90.52440000232309,859.3681000638753,1.1636457065670367,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,sparse_50pct,887,49,636,202,0.5472609494924978,0.12001127395715896,74.74830001592636,650.8559002541006,1.5364384030468037,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,sparse_25pct,749,45,542,162,0.5516318412551833,0.11862483311081441,75.95830003265291,485.2226000512019,2.060909776037797,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,noise_low,1051,68,694,289,0.5428653804236669,0.12426260704091344,101.8974999897182,1310.9115000115708,0.7628280017309891,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,noise_medium,1052,74,689,289,0.5442714454061288,0.12395437262357417,141.18329994380474,1102.383500081487,0.9071253333582017,True
W_BASE+THRESH_A,W_BASE,THRESH_A,858a1ece22cf45d9bc71e42336604b78_LIDAR_TOP_xyzi.npy,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,noise_high,1049,73,694,282,0.5445980007887621,0.12340324118207821,223.06380001828074,1152.0055000437424,0.86805141117992,True
W_SEM+THRESH_A,W_SEM,THRESH_A,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,original,533,56,400,77,0.5782560224660248,0.10919324577861164,52.0951000507921,2096.6895000310615,0.4769423417178297,True
W_SEM+THRESH_A,W_SEM,THRESH_A,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,dropout_5pct,530,56,399,75,0.5779406792574826,0.1088679245283019,43.27449994161725,1916.1315000383183,0.5218848497506576,True
W_SEM+THRESH_A,W_SEM,THRESH_A,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,dropout_10pct,526,56,398,72,0.5785689656270441,0.10836501901140687,67.10230000317097,1574.5343999005854,0.6351083850966603,True
