object_or_region_id,frame_id,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance
5991fad3280c4f84b331536c32001a04_r343,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,4,,0.05,0.7733183451392617
5991fad3280c4f84b331536c32001a04_r344,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,4,,0.05,0.7869469935954485
5991fad3280c4f84b331536c32001a04_r346,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,42,,0.05,0.8223771724318644
5991fad3280c4f84b331536c32001a04_r348,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.8029647768025657
5991fad3280c4f84b331536c32001a04_r349,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,67,,0.05,0.8184967682462376
5991fad3280c4f84b331536c32001a04_r351,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,42,,0.05,0.844573513780414
5991fad3280c4f84b331536c32001a04_r352,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,135,,0.05,0.8401610837970348
5991fad3280c4f84b331536c32001a04_r353,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,165,,0.05,0.8414986363489606
5991fad3280c4f84b331536c32001a04_r354,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,96,,0.05,0.8434992146829456
5991fad3280c4f84b331536c32001a04_r355,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,232,,0.05,0.8422995696232395
5991fad3280c4f84b331536c32001a04_r356,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,235,,0.05,0.8397655487866637
5991fad3280c4f84b331536c32001a04_r357,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,174,,0.05,0.8408866555562683
5991fad3280c4f84b331536c32001a04_r358,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,129,,0.05,0.8360060521536321
5991fad3280c4f84b331536c32001a04_r359,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,43,,0.05,0.826396298508827
5991fad3280c4f84b331536c32001a04_r360,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,25,,0.05,0.8256875279062329
5991fad3280c4f84b331536c32001a04_r361,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,25,,0.05,0.8270039040351131
5991fad3280c4f84b331536c32001a04_r362,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,23,,0.05,0.8201953114023905
5991fad3280c4f84b331536c32001a04_r364,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,3,,0.05,0.802685291394587
5991fad3280c4f84b331536c32001a04_r365,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.7734172634361667
5991fad3280c4f84b331536c32001a04_r367,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.1,0.7429141026104599
5991fad3280c4f84b331536c32001a04_r369,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6764786255730909
5991fad3280c4f84b331536c32001a04_r370,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6437668522276495
5991fad3280c4f84b331536c32001a04_r377,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.05,0.7665792585223662
5991fad3280c4f84b331536c32001a04_r378,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,4,,0.05,0.8078595549296762
5991fad3280c4f84b331536c32001a04_r380,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,18,,0.05,0.8190717383729593
5991fad3280c4f84b331536c32001a04_r382,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,11,,0.05,0.8257125270311608
5991fad3280c4f84b331536c32001a04_r383,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,26,,0.05,0.8438290064926215
5991fad3280c4f84b331536c32001a04_r384,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,58,,0.05,0.8422618373856104
5991fad3280c4f84b331536c32001a04_r385,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,24,,0.05,0.8315460286543502
5991fad3280c4f84b331536c32001a04_r388,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.8087608470476592
5991fad3280c4f84b331536c32001a04_r399,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.8130973313117215
5991fad3280c4f84b331536c32001a04_r434,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.05,0.7755850771171487
5991fad3280c4f84b331536c32001a04_r130,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.7706044319570771
5991fad3280c4f84b331536c32001a04_r133,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.7151267743655736
5991fad3280c4f84b331536c32001a04_r135,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,6,,0.05,0.7667058048002998
5991fad3280c4f84b331536c32001a04_r153,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,75,,0.05,0.8245934991375925
5991fad3280c4f84b331536c32001a04_r154,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,58,,0.05,0.8236954629424523
5991fad3280c4f84b331536c32001a04_r155,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,50,,0.05,0.82434295109674
5991fad3280c4f84b331536c32001a04_r157,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,9,,0.05,0.797817708870515
5991fad3280c4f84b331536c32001a04_r159,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,11,,0.05,0.7912503475361796
5991fad3280c4f84b331536c32001a04_r160,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,13,,0.05,0.7893689682831342
5991fad3280c4f84b331536c32001a04_r162,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.7438661479703552
5991fad3280c4f84b331536c32001a04_r164,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.7137169805540201
5991fad3280c4f84b331536c32001a04_r165,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.1,0.7091826115992872
5991fad3280c4f84b331536c32001a04_r166,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6779648086006548
5991fad3280c4f84b331536c32001a04_r167,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6684778281633179
5991fad3280c4f84b331536c32001a04_r170,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6755601220199215
5991fad3280c4f84b331536c32001a04_r171,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6776361372237246
5991fad3280c4f84b331536c32001a04_r240,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,4,,0.05,0.7544490234473427
5991fad3280c4f84b331536c32001a04_r311,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,658,,0.05,0.8453252317561253
5991fad3280c4f84b331536c32001a04_r315,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,145,,0.05,0.8317682165950098
5991fad3280c4f84b331536c32001a04_r316,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,76,,0.05,0.8294659286346927
5991fad3280c4f84b331536c32001a04_r319,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,13,,0.05,0.8090755178720979
5991fad3280c4f84b331536c32001a04_r322,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,3,,0.05,0.790151176018318
5991fad3280c4f84b331536c32001a04_r323,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.7844104798817867
5991fad3280c4f84b331536c32001a04_r326,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.1,0.7481302227386698
5991fad3280c4f84b331536c32001a04_r327,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.7476121437152462
5991fad3280c4f84b331536c32001a04_r333,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6439858159550367
5991fad3280c4f84b331536c32001a04_r342,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,14,,0.05,0.781547818785226
5991fad3280c4f84b331536c32001a04_r343,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,4,,0.05,0.7733183451392617
5991fad3280c4f84b331536c32001a04_r344,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,4,,0.05,0.7869469935954485
5991fad3280c4f84b331536c32001a04_r346,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,40,,0.05,0.8230671540475575
5991fad3280c4f84b331536c32001a04_r348,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.8029647768025657
5991fad3280c4f84b331536c32001a04_r349,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,65,,0.05,0.8186444100796512
5991fad3280c4f84b331536c32001a04_r351,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,40,,0.05,0.8448418999556407
5991fad3280c4f84b331536c32001a04_r352,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,129,,0.05,0.8382091618779888
5991fad3280c4f84b331536c32001a04_r353,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,162,,0.05,0.8416253262947331
5991fad3280c4f84b331536c32001a04_r354,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,91,,0.05,0.8438138359231437
5991fad3280c4f84b331536c32001a04_r355,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,218,,0.05,0.8424279014722504
5991fad3280c4f84b331536c32001a04_r356,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,227,,0.05,0.8397414832601366
5991fad3280c4f84b331536c32001a04_r357,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,166,,0.05,0.8411090427669782
5991fad3280c4f84b331536c32001a04_r358,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,121,,0.05,0.8357518157233804
5991fad3280c4f84b331536c32001a04_r359,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,40,,0.05,0.8253990926611847
5991fad3280c4f84b331536c32001a04_r360,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,23,,0.05,0.8246066191264881
5991fad3280c4f84b331536c32001a04_r361,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,25,,0.05,0.8270039040351131
5991fad3280c4f84b331536c32001a04_r362,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,21,,0.05,0.8208324352809676
5991fad3280c4f84b331536c32001a04_r364,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.7861615772391158
5991fad3280c4f84b331536c32001a04_r365,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.7734172634361667
5991fad3280c4f84b331536c32001a04_r367,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.1,0.7429141026104599
5991fad3280c4f84b331536c32001a04_r369,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6764786255730909
5991fad3280c4f84b331536c32001a04_r370,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.1,0.6437668522276495
5991fad3280c4f84b331536c32001a04_r377,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,1,,0.05,0.7665792585223662
5991fad3280c4f84b331536c32001a04_r378,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,4,,0.05,0.8078595549296762
5991fad3280c4f84b331536c32001a04_r380,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,17,,0.05,0.8190717275792613
5991fad3280c4f84b331536c32001a04_r382,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,9,,0.05,0.8257319228704433
5991fad3280c4f84b331536c32001a04_r383,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,24,,0.05,0.844638883393643
5991fad3280c4f84b331536c32001a04_r384,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,54,,0.05,0.8425423238112012
5991fad3280c4f84b331536c32001a04_r385,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,23,,0.05,0.8317632692461701
5991fad3280c4f84b331536c32001a04_r388,5991fad3280c4f84b331536c32001a04,dropout_10pct,vehicle,annotation,True,True,2,,0.05,0.8087608470476592
